Athlete Name,Date,Segment ID,Segment Name,Elapsed Time (s),Effort ID,rank,points
Winston Chong,2026-05-15,712653,Lakeshore Speedway (Eastbound),130,3490371495573546782,1,5
Winston Chong,2026-05-15,9488848,SPANISH HILL,74,3490371486104620834,1,5
Winston Chong,2026-05-15,12512083,Lakeshore: Kipling > Islington,135,3490371495576605470,1,5
Winston Chong,2026-05-15,13419662,Ellis from Gardens,112,3490371486103340834,1,5
Winston Chong,2026-05-22,712653,Lakeshore Speedway (Eastbound),129,3492902185023245116,1,5
Spagz,2026-05-22,712653,Lakeshore Speedway (Eastbound),129,3492899508966619964,1,5
Spagz,2026-05-22,9488848,SPANISH HILL,78,3492899508968883004,1,5
Winston Chong,2026-05-22,9488848,SPANISH HILL,95,3492902177880948874,2,4
Spagz,2026-05-22,12512083,Lakeshore: Kipling > Islington,96,3492899508965977916,1,5
Winston Chong,2026-05-22,12512083,Lakeshore: Kipling > Islington,173,3492902177883261066,2,4
Winston Chong,2026-05-22,13419662,Ellis from Gardens,100,3492902177881109642,1,5
Spagz,2026-05-22,13419662,Ellis from Gardens,122,3492899508968485692,2,4
Spagz,2026-06-05,712653,Lakeshore Speedway (Eastbound),116,3497976284436841680,1,5
Winston Chong,2026-06-05,712653,Lakeshore Speedway (Eastbound),125,3497975262023551386,2,4
Winston Chong,2026-06-05,5476260,Just Visiting,119,3497975262025942426,1,5
Spagz,2026-06-05,5476260,Just Visiting,121,3497976284439149776,2,4
Spagz,2026-06-05,9488848,SPANISH HILL,59,3497976284431568080,1,5
Winston Chong,2026-06-05,9488848,SPANISH HILL,74,3497975262022473114,2,4
Winston Chong,2026-06-05,12512083,Lakeshore: Kipling > Islington,139,3497975262026068378,1,5
Spagz,2026-06-05,12512083,Lakeshore: Kipling > Islington,143,3497976284437314768,2,4
Spagz,2026-06-05,13419662,Ellis from Gardens,101,3497976284434578640,1,5
Winston Chong,2026-06-05,13419662,Ellis from Gardens,108,3497975262025913754,2,4
Spagz,2026-06-05,17287772,Dup --> Dav on Sym,54,3497976284434443472,1,5
Winston Chong,2026-06-05,17287772,Dup --> Dav on Sym,61,3497975262021706138,2,4
